Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01197236e-02 9.63804094e-04 2.61097468e+02 2.87698448e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00000004e-02 2.28945271e-03 2.68167271e+02 1.13519946e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00000017e-02 1.62770272e-04 2.94874581e+02 2.04489966e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00923567e-02 1.66088405e-04 4.93243242e+02 2.28316570e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01133551e-02 3.84599703e-04 3.21713984e+02 2.61618154e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01087860e-02 2.64346921e-03 2.99247485e+02 2.31757083e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01209730e-02 1.66100415e-04 2.91065980e+02 2.81217120e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00925690e-02 1.66100301e-04 2.34706539e+01 2.31757083e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.01545068e-01 1.00446158e-04 2.64445581e+01 4.86907956e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [2.97495765e-01 1.12035703e-04 2.56817293e+01 4.28172440e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.14451381e-01 1.00100061e-04 2.53292968e+01 6.07041629e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [2.96698224e-01 1.66056929e-04 2.52498374e+01 7.82734308e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.73875298e-01 3.84288999e-03 4.09786238e+01 4.17057924e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.49081226e-01 1.66029317e-04 2.95816384e+01 4.47095024e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.05669467e-01 1.00326079e-04 2.64975307e+01 7.87787845e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.16710464e-01 1.00276778e-04 2.67318905e+01 5.26628953e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00923567e-02 1.66088405e-04 4.93243242e+02 2.28316570e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01197236e-02 9.63804094e-04 2.61097468e+02 2.87698448e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01087860e-02 2.64346921e-03 2.99247485e+02 2.31757083e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00000004e-02 2.28945271e-03 2.68167271e+02 1.13519946e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00925690e-02 1.66100301e-04 2.34706539e+01 2.31757083e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.00000017e-02 1.62770272e-04 2.94874581e+02 2.04489966e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.14451381e-01 1.00100061e-04 2.53292968e+01 6.07041629e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01133551e-02 3.84599703e-04 3.21713984e+02 2.61618154e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.73875298e-01 3.84288999e-03 4.09786238e+01 4.17057924e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [1.01209730e-02 1.66100415e-04 2.91065980e+02 2.81217120e+04]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.49081226e-01 1.66029317e-04 2.95816384e+01 4.47095024e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.01545068e-01 1.00446158e-04 2.64445581e+01 4.86907956e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [2.97495765e-01 1.12035703e-04 2.56817293e+01 4.28172440e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [2.96698224e-01 1.66056929e-04 2.52498374e+01 7.82734308e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.05669467e-01 1.00326079e-04 2.64975307e+01 7.87787845e+02]
Optimized Hyperparameters (amplitude, y_noise_fac, lengthscale_z, lengths_xy): [3.16710464e-01 1.00276778e-04 2.67318905e+01 5.26628953e+02]
